序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
370,603866,桃李面包,6.43,5.24,0.32,302309.0,191609035.0,6.38,6.48,6.09,6.1,6.11,2.08,1.89,17.73,2.04,10286194167.0,10286194167.0,0.0,0.16,24.61,-12.64,True,False
852,300741,华宝股份,18.19,3.12,0.55,27058.0,48825811.0,4.42,18.33,17.55,17.6,17.64,1.74,0.44,46.91,1.56,11202857200.0,11202805359.0,0.0,0.06,22.41,-12.92,True,True
1621,600325,华发股份,6.72,1.97,0.13,420525.0,281074770.0,3.03,6.75,6.55,6.57,6.59,1.34,1.64,10.42,0.88,18494462220.0,17278736940.0,0.0,0.3,29.48,-1.75,True,False
1959,000869,张  裕Ａ,23.6,1.68,0.39,21627.0,50993106.0,2.76,23.82,23.18,23.2,23.21,1.28,0.48,53.1,1.5,15855044040.0,10740225362.0,-0.04,0.0,17.59,-0.17,True,False
2010,600596,新安股份,8.68,1.64,0.14,180925.0,155915720.0,3.51,8.72,8.42,8.57,8.54,1.34,1.4,64.13,0.92,11714502385.0,11222996161.0,-0.12,-0.12,21.4,-3.77,True,False
2706,001286,陕西能源,9.6,1.16,0.11,151124.0,144663559.02,1.37,9.61,9.48,9.49,9.49,0.78,1.44,10.81,1.46,36000000000.0,10080000000.0,0.1,0.0,2.13,17.22,True,False
2739,600597,光明乳业,8.87,1.14,0.1,193804.0,171702930.0,1.82,8.92,8.76,8.77,8.77,1.75,1.41,78.81,1.4,12227062278.0,12226899070.0,0.0,0.0,16.1,4.23,True,False
2957,000930,中粮科技,5.92,1.02,0.06,165198.0,97483740.12,2.05,5.94,5.82,5.85,5.86,1.17,0.89,859.67,1.05,11009558348.0,10988889260.0,0.0,-0.17,22.31,-10.84,True,False
3100,601163,三角轮胎,15.14,0.93,0.14,71947.0,108847348.0,2.13,15.23,14.91,14.98,15.0,1.05,0.9,10.28,0.92,12112000000.0,12112000000.0,0.07,0.13,8.22,10.19,True,False
3134,601568,北元集团,4.41,0.92,0.04,150792.0,66400258.0,1.6,4.43,4.36,4.39,4.37,1.01,0.38,54.78,1.5,17517500008.0,17517500008.0,0.0,0.0,16.05,-4.96,True,False
3147,600755,厦门国贸,6.69,0.9,0.06,228562.0,152531507.0,1.51,6.71,6.61,6.61,6.63,1.09,1.07,15.27,0.71,14500331136.0,14264140278.0,0.0,0.0,16.15,3.4,True,False
3247,600572,康恩贝,4.75,0.85,0.04,300652.0,142426278.0,1.91,4.77,4.68,4.72,4.71,1.03,1.17,17.66,1.83,12207677265.0,12175653464.0,0.21,0.0,15.57,-2.06,True,False
3288,600295,鄂尔多斯,9.73,0.83,0.08,106602.0,103697099.0,2.07,9.81,9.61,9.65,9.65,1.09,0.54,11.87,1.3,27232092951.0,19222356951.0,0.21,0.21,20.12,9.33,True,False
3658,600997,开滦股份,7.02,0.57,0.04,80981.0,56741581.0,1.86,7.06,6.93,6.94,6.98,0.93,0.51,12.9,0.78,11146354954.0,11146354954.0,0.0,0.14,15.65,-3.7,True,False
3824,600801,华新水泥,12.98,0.46,0.06,69540.0,90323105.0,1.93,13.1,12.85,12.88,12.92,1.19,0.52,17.78,0.93,26985363524.0,17448697924.0,0.0,0.0,22.22,9.08,True,False
3859,000690,宝新能源,4.61,0.44,0.02,270161.0,124596035.0,1.74,4.64,4.56,4.58,4.59,0.85,1.24,12.7,0.83,10030843044.0,10024311056.0,-0.22,-0.22,13.55,11.62,True,False
4045,600116,三峡水利,7.15,0.28,0.02,110140.0,78755894.0,1.54,7.19,7.08,7.12,7.13,0.91,0.58,26.76,1.21,13671821764.0,13671821764.0,-0.14,0.0,4.69,-3.12,True,False
4824,000012,南  玻Ａ,5.5,-0.18,-0.01,263096.0,144572814.57,1.45,5.54,5.46,5.48,5.51,1.18,1.34,16.11,1.2,16888806589.0,10776038048.0,-0.18,0.0,9.34,3.38,True,False
5174,600808,马钢股份,2.35,-0.84,-0.02,410815.0,97148511.0,1.69,2.39,2.35,2.37,2.37,1.1,0.69,-5.39,0.72,18205304267.0,14024215287.0,-0.42,-0.42,27.03,-13.6,True,False
