序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,rule3_sinal
708,600798,宁波海运,3.32,3.11,0.1,259535.0,85303224.0,2.48,3.32,3.24,3.25,3.22,1.72,2.15,-347.96,1.02,4005693547.0,4005693547.0,0.3,0.91,27.2,-8.54,True
725,600388,龙净环保,12.53,3.04,0.37,235822.0,295722509.0,5.26,12.85,12.21,12.21,12.16,1.72,1.93,17.7,1.62,15281631592.0,15281631592.0,0.08,0.08,12.28,-0.48,True
767,600997,开滦股份,7.39,2.92,0.21,215729.0,157297837.0,3.62,7.4,7.14,7.16,7.18,1.86,1.36,13.58,0.82,11733840899.0,11733840899.0,0.0,0.14,15.29,1.37,True
801,601991,大唐发电,2.91,2.83,0.08,1456548.0,419209074.0,3.18,2.91,2.82,2.83,2.83,1.82,1.18,9.12,1.75,53854527567.0,36072619298.0,0.0,0.0,11.92,20.75,True
821,000591,太阳能,5.14,2.8,0.14,777895.0,395474462.24,3.4,5.15,4.98,5.0,5.0,1.75,2.16,11.69,0.85,20116041361.0,18496297458.0,0.0,-0.19,22.97,-5.34,True
933,600507,方大特钢,4.37,2.58,0.11,340138.0,147735945.0,3.29,4.39,4.25,4.26,4.26,1.5,1.47,40.11,1.08,10108631079.0,10108631079.0,0.0,0.23,19.4,-3.1,True
949,002508,老板电器,22.89,2.55,0.57,88238.0,200659217.72,2.82,22.92,22.29,22.34,22.32,1.58,0.95,13.48,2.0,21611124621.0,21330142638.0,-0.04,0.0,27.31,12.87,True
1009,000899,赣能股份,8.85,2.43,0.21,149399.0,131147267.94,2.89,8.87,8.62,8.67,8.64,1.78,1.53,10.13,1.52,8634748176.0,8634748176.0,0.11,0.11,17.69,16.6,True
1086,002573,清新环境,4.44,2.3,0.1,153028.0,67495721.3,2.76,4.45,4.33,4.33,4.34,1.83,1.08,79.8,1.0,6324285291.0,6273214635.0,0.0,0.23,34.14,-8.45,True
1100,688029,南微医学,72.06,2.29,1.61,21023.0,150582135.0,3.29,72.43,70.11,70.35,70.45,1.06,1.12,22.51,3.63,13536285229.0,13536285229.0,0.01,-0.11,23.05,-24.39,True
1105,601003,柳钢股份,3.14,2.28,0.07,236804.0,73949652.0,3.58,3.17,3.06,3.07,3.07,1.47,0.92,-19.63,0.95,8047170648.0,8047170648.0,0.0,-0.32,18.49,-0.95,True
