序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
185,002124,ST天邦,2.86,5.15,0.14,251955.0,71831727.94,1.47,2.86,2.82,2.84,2.72,0.88,1.28,3.55,1.79,6354730760.0,5646450804.0,0.0,0.0,12.16,2.51,农牧饲渔,True
367,603156,养元饮品,22.95,3.61,0.8,48514.0,109843769.0,4.47,23.06,22.07,22.07,22.15,1.05,0.38,17.65,2.93,28923370140.0,28923370140.0,-0.04,0.04,7.9,0.48,食品饮料,True
611,601857,中国石油,9.05,2.38,0.21,2275089.0,2057337764.0,3.73,9.17,8.84,8.86,8.84,1.4,0.14,9.37,1.11,1656339849253.0,1465394804253.0,-0.22,-0.11,7.35,1.23,石油行业,True
910,601156,东航物流,16.93,1.5,0.25,196822.0,330264082.0,4.44,17.06,16.32,16.62,16.68,1.27,2.08,9.75,1.53,26877315563.0,15992002763.0,0.0,-0.12,3.29,0.36,物流行业,True
924,601126,四方股份,16.63,1.46,0.24,128222.0,209500568.0,4.7,16.72,15.95,16.28,16.39,1.27,1.57,17.07,3.14,13860040680.0,13617537031.0,-0.06,0.0,-9.13,-1.95,电网设备,True
939,601107,四川成渝,5.04,1.41,0.07,146873.0,73295215.0,3.62,5.08,4.9,4.96,4.97,0.75,0.68,10.3,0.96,15412622400.0,10900209600.0,-0.2,-0.2,0.2,-3.63,铁路公路,True
944,000895,双汇发展,26.12,1.4,0.36,140402.0,365393364.89,2.68,26.24,25.55,25.68,25.76,0.96,0.41,17.84,4.54,90496950884.0,90482912193.0,-0.23,-0.15,6.09,0.62,食品饮料,True
1171,603237,五芳斋,18.11,0.95,0.17,19498.0,34848732.0,5.24,18.26,17.32,17.87,17.94,0.74,1.6,12.8,2.0,3590733574.0,2207167877.0,0.0,0.0,6.97,-1.58,食品饮料,True
1265,301149,隆华新材,10.04,0.8,0.08,39289.0,39117093.0,4.22,10.13,9.71,9.88,9.96,1.26,1.93,23.68,2.29,4317200181.0,2048369685.0,0.0,0.0,5.13,1.52,化学原料,True
1378,603515,欧普照明,16.76,0.66,0.11,12429.0,20627024.0,3.24,16.84,16.3,16.56,16.65,0.62,0.17,15.08,1.93,12489973933.0,12316774417.0,0.12,0.12,-2.95,1.88,家电行业,True
1427,601598,中国外运,5.16,0.58,0.03,284494.0,146054822.0,2.53,5.19,5.06,5.1,5.13,0.9,0.54,9.99,0.98,37638159075.0,27120531075.0,0.0,0.0,-1.15,-3.55,物流行业,True
1468,601008,连云港,3.72,0.54,0.02,105679.0,39172836.0,2.97,3.76,3.65,3.7,3.7,0.97,0.85,24.15,1.14,4615173382.0,4615173382.0,-0.27,-0.27,0.0,-2.87,航运港口,True
1531,600863,内蒙华电,4.21,0.48,0.02,520872.0,218574948.0,2.15,4.24,4.15,4.2,4.19,0.82,0.8,8.35,1.65,27478197684.0,27478197684.0,0.0,0.0,-7.06,-2.77,电力行业,True
1650,600917,重庆燃气,5.74,0.35,0.02,43178.0,24617330.0,2.27,5.75,5.62,5.68,5.72,0.59,0.28,25.57,1.63,9019491600.0,8960368222.0,0.0,0.17,-1.71,-5.59,燃气,True
1693,601006,大秦铁路,6.58,0.3,0.02,982619.0,645405168.0,1.83,6.62,6.5,6.54,6.56,0.92,0.52,10.79,0.79,123751861749.0,123751861749.0,0.0,0.15,1.08,-2.95,物流行业,True
1807,603855,华荣股份,19.7,0.2,0.04,15142.0,29573789.0,3.71,19.84,19.11,19.58,19.66,0.66,0.45,15.52,3.41,6649321300.0,6571013800.0,0.2,0.41,6.43,-2.91,专用设备,True
1875,000937,冀中能源,6.44,0.16,0.01,245557.0,157451924.46,2.02,6.46,6.33,6.42,6.43,0.71,0.72,14.06,1.08,22756041714.0,22111058339.0,0.0,0.0,6.27,1.9,煤炭行业,True
1876,603408,建霖家居,13.01,0.15,0.02,47678.0,61300243.0,5.54,13.18,12.46,13.11,12.99,1.06,1.07,11.01,1.82,5822924730.0,5822924730.0,-0.08,0.08,13.13,3.83,装修装饰,True
2138,600253,天方药业,,,,,,,,,,6.26,,0.0,,,,,,,0.0,0.0,Other,True
2354,000778,新兴铸管,3.64,0.0,0.0,298391.0,108213887.0,2.47,3.67,3.58,3.65,3.64,0.74,0.77,22.53,0.56,14523813945.0,14182450220.0,0.28,0.28,-7.85,-5.21,钢铁行业,True
2482,002932,明德生物,19.36,-0.1,-0.02,45907.0,88324023.08,3.2,19.59,18.97,19.24,19.38,1.15,2.94,41.71,0.76,4501605728.0,3021808717.0,-0.1,0.0,8.89,5.22,医疗器械,True
2558,600351,亚宝药业,6.03,-0.17,-0.01,123545.0,74308895.0,2.81,6.09,5.92,6.01,6.04,0.81,1.72,13.86,1.47,4341600567.0,4341600567.0,0.0,0.0,3.08,-0.99,中药,True
2566,000791,甘肃能源,5.8,-0.17,-0.01,99625.0,57439118.1,2.24,5.83,5.7,5.79,5.81,0.67,0.62,22.8,1.07,18814270504.0,9283043753.0,-0.17,0.0,-9.52,-3.81,电力行业,True
2606,002391,长青股份,4.99,-0.2,-0.01,32003.0,15884479.74,3.2,5.04,4.88,4.97,5.0,0.67,0.69,55.45,0.74,3241466825.0,2315962847.0,-0.2,0.0,3.53,-0.4,农药兽药,True
2621,600585,海螺水泥,23.75,-0.21,-0.05,133546.0,317503499.0,2.02,24.04,23.56,23.76,23.8,0.93,0.33,18.16,0.68,125858436251.0,94992936251.0,0.25,0.3,-6.75,-0.13,水泥建材,True
2626,000088,盐 田 港,4.65,-0.21,-0.01,91055.0,42264429.69,2.58,4.7,4.58,4.66,4.66,0.83,0.4,18.06,1.38,24177597559.0,10458479949.0,0.0,0.0,-3.53,-4.52,航运港口,True
2636,600750,江中药业,22.55,-0.22,-0.05,75945.0,170680704.0,3.23,22.79,22.06,22.64,22.6,0.54,1.21,16.77,3.82,14184347421.0,14142288379.0,-0.04,-0.09,2.78,-0.66,中药,True
2721,603301,振德医疗,20.93,-0.29,-0.06,15865.0,33055191.0,3.33,21.16,20.46,21.0,20.99,0.78,0.6,13.6,1.0,5576823658.0,5576823658.0,-0.14,-0.14,-3.5,-4.82,医疗器械,True
