datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2020-07-27,920489,9.98,8.38,10.66,6.88,43033,37436233.0,39.79,-11.79,-1.12,8.02
2020-07-28,920489,8.35,8.98,8.98,7.76,18524,15328161.0,14.56,7.16,0.6,3.45
2020-07-29,920489,8.79,9.62,9.75,8.68,34715,32864933.0,11.92,7.13,0.64,6.47
2020-07-30,920489,9.65,9.42,9.95,9.25,16092,15401057.0,7.28,-2.08,-0.2,3.0
2020-07-31,920489,9.51,9.49,9.54,9.08,14266,13282191.0,4.88,0.74,0.07,2.66
2020-08-03,920489,9.6,9.51,9.61,9.46,11769,11195794.0,1.58,0.21,0.02,2.19
2020-08-04,920489,9.57,9.33,9.57,9.3,8295,7775346.0,2.84,-1.89,-0.18,1.55
2020-08-05,920489,9.33,9.07,9.39,9.02,7512,6899760.0,3.97,-2.79,-0.26,1.4
2020-08-06,920489,9.07,9.0,9.07,8.83,3948,3527163.0,2.65,-0.77,-0.07,0.74
2020-08-07,920489,8.93,8.8,8.99,8.74,3902,3438847.0,2.78,-2.22,-0.2,0.73
2020-08-10,920489,8.65,8.8,8.88,8.65,1701,1495281.0,2.61,0.0,0.0,0.32
2020-08-11,920489,8.84,8.8,8.86,8.71,2111,1851786.0,1.7,0.0,0.0,0.39
2020-08-12,920489,8.75,8.7,8.81,8.63,2589,2260583.0,2.05,-1.14,-0.1,0.48
2020-08-13,920489,8.72,8.79,8.88,8.68,3096,2726023.0,2.3,1.03,0.09,0.58
2020-08-14,920489,8.89,8.95,8.95,8.76,2446,2173369.0,2.16,1.82,0.16,0.46
2020-08-17,920489,9.0,9.0,9.1,8.85,1901,1701207.0,2.79,0.56,0.05,0.35
2020-08-18,920489,8.95,8.9,9.0,8.9,1201,1071333.0,1.11,-1.11,-0.1,0.22
2020-08-19,920489,8.87,8.93,8.93,8.85,1488,1320200.0,0.9,0.34,0.03,0.28
2020-08-20,920489,8.86,8.8,8.9,8.76,895,788587.0,1.57,-1.46,-0.13,0.17
2020-08-21,920489,8.88,8.79,8.88,8.69,1483,1297428.0,2.16,-0.11,-0.01,0.28
2020-08-24,920489,8.75,8.68,8.77,8.66,1598,1392602.0,1.25,-1.25,-0.11,0.3
2020-08-25,920489,8.66,8.67,8.72,8.58,1614,1393853.0,1.61,-0.12,-0.01,0.3
2020-08-26,920489,8.6,8.67,8.98,8.6,2965,2622936.0,4.38,0.0,0.0,0.55
2020-08-27,920489,8.67,8.72,8.74,8.61,1239,1074212.0,1.5,0.58,0.05,0.23
2020-08-28,920489,8.68,8.77,8.79,8.66,1120,978648.0,1.49,0.57,0.05,0.21
2020-08-31,920489,8.76,8.86,8.94,8.76,1829,1622163.0,2.05,1.03,0.09,0.34
2020-09-01,920489,8.79,8.78,8.87,8.74,722,636765.0,1.47,-0.9,-0.08,0.13
2020-09-02,920489,8.75,8.78,8.85,8.61,2212,1926415.0,2.73,0.0,0.0,0.41
2020-09-03,920489,8.7,8.73,8.82,8.7,465,405415.0,1.37,-0.57,-0.05,0.09
2020-09-04,920489,8.65,8.71,8.72,8.64,817,708648.0,0.92,-0.23,-0.02,0.15
2020-09-07,920489,8.62,8.56,8.69,8.56,4683,4030058.0,1.49,-1.72,-0.15,0.87
2020-09-08,920489,8.57,8.54,8.66,8.51,726,621266.0,1.75,-0.23,-0.02,0.14
2020-09-09,920489,8.51,8.48,8.54,8.39,1444,1222210.0,1.76,-0.7,-0.06,0.27
2020-09-10,920489,8.45,8.25,8.48,8.11,6724,5726732.0,4.36,-2.71,-0.23,1.25
2020-09-11,920489,8.11,8.19,8.25,8.1,4050,3417797.0,1.82,-0.73,-0.06,0.75
2020-09-14,920489,8.18,8.24,8.29,8.17,377,309943.0,1.47,0.61,0.05,0.07
2020-09-15,920489,8.25,8.24,8.3,8.22,623,513569.0,0.97,0.0,0.0,0.12
2020-09-16,920489,8.22,8.22,8.27,8.18,327,269104.0,1.09,-0.24,-0.02,0.06
2020-09-17,920489,8.16,8.22,8.26,8.11,748,610441.0,1.82,0.0,0.0,0.14
2020-09-18,920489,8.13,8.28,8.28,8.13,328,268967.0,1.82,0.73,0.06,0.06
2020-09-21,920489,8.28,8.25,8.28,8.19,917,755616.0,1.09,-0.36,-0.03,0.17
2020-09-22,920489,8.18,8.17,8.25,8.16,717,587231.0,1.09,-0.97,-0.08,0.13
2020-09-23,920489,8.17,8.15,8.17,8.08,689,559006.0,1.1,-0.24,-0.02,0.13
2020-09-24,920489,8.13,7.95,8.13,7.95,875,700971.0,2.21,-2.45,-0.2,0.16
2020-09-25,920489,7.95,7.83,7.96,7.81,985,774900.0,1.89,-1.51,-0.12,0.18
2020-09-28,920489,7.82,7.82,7.88,7.79,838,655713.0,1.15,-0.13,-0.01,0.16
2020-09-29,920489,7.81,7.8,7.85,7.73,1051,821594.0,1.53,-0.26,-0.02,0.2
2020-09-30,920489,7.81,7.84,7.9,7.81,404,318208.0,1.15,0.51,0.04,0.08
2020-10-09,920489,7.84,8.17,8.2,7.84,1423,1142759.0,4.59,4.21,0.33,0.27
2020-10-12,920489,8.18,8.48,8.49,8.18,1854,1553527.0,3.79,3.79,0.31,0.35
2020-10-13,920489,8.5,8.78,8.89,8.48,1870,1622844.0,4.83,3.54,0.3,0.35
2020-10-14,920489,8.77,8.81,8.88,8.75,1718,1516049.0,1.48,0.34,0.03,0.32
2020-10-15,920489,8.7,8.65,8.82,8.61,1177,1029385.0,2.38,-1.82,-0.16,0.22
2020-10-16,920489,8.74,8.6,8.77,8.58,1621,1402434.0,2.2,-0.58,-0.05,0.3
2020-10-19,920489,8.62,8.74,8.83,8.62,867,760428.0,2.44,1.63,0.14,0.16
2020-10-20,920489,8.78,8.75,8.78,8.48,1763,1516355.0,3.43,0.11,0.01,0.33
2020-10-21,920489,8.67,8.69,8.77,8.58,590,510824.0,2.17,-0.69,-0.06,0.11
2020-10-22,920489,8.81,8.71,8.81,8.62,365,317564.0,2.19,0.23,0.02,0.07
2020-10-23,920489,8.78,8.74,8.79,8.68,431,377510.0,1.26,0.34,0.03,0.08
2020-10-26,920489,8.55,8.69,8.73,8.53,591,508042.0,2.29,-0.57,-0.05,0.11
2020-10-27,920489,8.57,8.6,8.66,8.57,145,124949.0,1.04,-1.04,-0.09,0.03
2020-10-28,920489,8.6,8.57,8.65,8.5,214,182703.0,1.74,-0.35,-0.03,0.04
2020-10-29,920489,8.49,8.57,8.65,8.49,273,233347.0,1.87,0.0,0.0,0.05
2020-10-30,920489,8.53,8.44,8.58,8.43,525,446652.0,1.75,-1.52,-0.13,0.1
2020-11-02,920489,8.34,7.97,8.47,7.85,4133,3320089.0,7.35,-5.57,-0.47,0.77
2020-11-03,920489,7.93,8.03,8.04,7.89,842,671732.0,1.88,0.75,0.06,0.16
2020-11-04,920489,7.93,7.79,8.04,7.72,3990,3117072.0,3.99,-2.99,-0.24,0.74
2020-11-05,920489,7.82,7.83,7.84,7.77,891,695930.0,0.9,0.51,0.04,0.17
2020-11-06,920489,7.77,7.78,7.84,7.75,733,570310.0,1.15,-0.64,-0.05,0.14
2020-11-09,920489,7.96,7.81,7.96,7.76,1185,924066.0,2.57,0.39,0.03,0.22
2020-11-10,920489,7.78,7.73,7.84,7.73,1466,1140467.0,1.41,-1.02,-0.08,0.27
2020-11-11,920489,7.77,7.8,7.88,7.76,1691,1320943.0,1.55,0.91,0.07,0.32
2020-11-12,920489,7.8,8.01,8.03,7.8,1540,1220613.0,2.95,2.69,0.21,0.29
2020-11-13,920489,7.87,8.27,8.28,7.87,1998,1628266.0,5.12,3.25,0.26,0.37
2020-11-16,920489,8.2,8.46,8.5,8.05,1956,1641787.0,5.44,2.3,0.19,0.36
2020-11-17,920489,8.45,8.71,8.73,8.45,4582,3958368.0,3.31,2.96,0.25,0.85
2020-11-18,920489,8.6,8.55,8.93,8.47,1817,1588566.0,5.28,-1.84,-0.16,0.34
2020-11-19,920489,8.53,8.77,8.83,8.53,1829,1602046.0,3.51,2.57,0.22,0.34
2020-11-20,920489,8.76,8.84,8.97,8.76,2486,2204461.0,2.39,0.8,0.07,0.46
2020-11-23,920489,8.73,8.63,8.84,8.61,553,478598.0,2.6,-2.38,-0.21,0.1
2020-11-24,920489,8.56,8.68,8.74,8.56,1152,996373.0,2.09,0.58,0.05,0.21
2020-11-25,920489,8.62,8.64,8.69,8.62,278,241013.0,0.81,-0.46,-0.04,0.05
2020-11-26,920489,8.86,8.64,8.86,8.64,292,254056.0,2.55,0.0,0.0,0.05
