datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
1998-09-18,600155,12.38,12.69,13.3,12.01,271711,349027000.0,25.8,153.8,7.69,60.38
1998-09-21,600155,12.46,12.56,12.88,11.61,110305,133440000.0,10.01,-1.02,-0.13,24.51
1998-09-22,600155,12.4,12.14,12.54,11.95,50157,61080000.0,4.7,-3.34,-0.42,11.15
1998-09-23,600155,12.1,11.9,12.2,11.78,40656,48427000.0,3.46,-1.98,-0.24,9.03
1998-09-24,600155,11.9,12.0,12.19,11.62,36416,43512000.0,4.79,0.84,0.1,8.09
1998-09-25,600155,11.95,11.8,12.08,11.65,24566,28953000.0,3.58,-1.67,-0.2,5.46
1998-09-28,600155,11.8,11.82,12.2,11.63,25984,31019000.0,4.83,0.17,0.02,5.77
1998-09-29,600155,11.78,11.85,12.0,11.64,16415,19308000.0,3.05,0.25,0.03,3.65
1998-09-30,600155,11.85,11.93,12.08,11.81,16794,20098000.0,2.28,0.68,0.08,3.73
1998-10-05,600155,11.95,12.01,12.08,11.7,12885,15332000.0,3.19,0.67,0.08,2.86
1998-10-06,600155,12.0,12.0,12.39,11.89,27005,32911000.0,4.16,-0.08,-0.01,6.0
1998-10-07,600155,12.01,12.16,12.16,11.93,16989,20496000.0,1.92,1.33,0.16,3.78
1998-10-08,600155,12.22,12.25,12.45,12.11,24249,29790000.0,2.8,0.74,0.09,5.39
1998-10-09,600155,12.33,12.0,12.33,11.97,16466,19963000.0,2.94,-2.04,-0.25,3.66
1998-10-12,600155,11.9,11.81,11.99,11.76,19366,22894000.0,1.92,-1.58,-0.19,4.3
1998-10-13,600155,11.9,12.03,12.26,11.75,17540,21119000.0,4.32,1.86,0.22,3.9
1998-10-14,600155,11.86,11.82,12.08,11.81,9431,11230000.0,2.24,-1.75,-0.21,2.1
1998-10-15,600155,11.83,12.13,12.24,11.82,15848,19113000.0,3.55,2.62,0.31,3.52
1998-10-16,600155,12.28,12.34,12.78,12.13,44643,55834000.0,5.36,1.73,0.21,9.92
1998-10-19,600155,12.5,12.47,12.82,12.31,32284,40759000.0,4.13,1.05,0.13,7.17
1998-10-20,600155,12.5,12.35,12.6,12.25,13160,16280000.0,2.81,-0.96,-0.12,2.92
1998-10-21,600155,12.35,11.98,12.36,11.96,17158,20825000.0,3.24,-3.0,-0.37,3.81
1998-10-22,600155,11.9,12.08,12.12,11.7,14388,17179000.0,3.51,0.83,0.1,3.2
1998-10-23,600155,12.1,11.98,12.3,11.78,13968,16858000.0,4.3,-0.83,-0.1,3.1
1998-10-26,600155,11.88,11.92,12.1,11.69,12352,14609000.0,3.42,-0.5,-0.06,2.74
1998-10-27,600155,11.92,12.2,12.27,11.81,9823,11898000.0,3.86,2.35,0.28,2.18
1998-10-28,600155,12.21,12.18,12.35,12.1,8699,10610000.0,2.05,-0.16,-0.02,1.93
1998-10-29,600155,12.21,12.0,12.27,11.99,11128,13400000.0,2.3,-1.48,-0.18,2.47
1998-10-30,600155,11.99,12.17,12.48,11.94,15869,19501000.0,4.5,1.42,0.17,3.53
1998-11-02,600155,12.18,12.58,12.59,12.18,22033,27376000.0,3.37,3.37,0.41,4.9
1998-11-03,600155,12.7,12.73,13.11,12.56,41672,53685000.0,4.37,1.19,0.15,9.26
1998-11-04,600155,12.8,12.9,13.08,12.61,20475,26285000.0,3.69,1.34,0.17,4.55
1998-11-05,600155,13.0,13.15,13.27,12.87,29143,38187000.0,3.1,1.94,0.25,6.48
1998-11-06,600155,13.4,12.7,13.4,12.7,37095,48381000.0,5.32,-3.42,-0.45,8.24
1998-11-09,600155,12.85,13.09,13.29,12.81,27195,35642000.0,3.78,3.07,0.39,6.04
1998-11-10,600155,13.03,13.03,13.38,12.88,20901,27336000.0,3.82,-0.46,-0.06,4.64
1998-11-11,600155,13.03,13.16,13.28,12.97,16157,21232000.0,2.38,1.0,0.13,3.59
1998-11-12,600155,13.2,12.9,13.28,12.85,16953,22025000.0,3.27,-1.98,-0.26,3.77
1998-11-13,600155,12.9,12.77,13.01,12.65,11889,15155000.0,2.79,-1.01,-0.13,2.64
1998-11-16,600155,12.72,12.83,13.05,12.66,10967,14101000.0,3.05,0.47,0.06,2.44
1998-11-17,600155,12.85,13.02,13.04,12.69,9825,12610000.0,2.73,1.48,0.19,2.18
1998-11-18,600155,13.05,12.7,13.09,12.67,14915,19059000.0,3.23,-2.46,-0.32,3.31
1998-11-19,600155,12.7,12.61,12.82,12.61,6797,8644000.0,1.65,-0.71,-0.09,1.51
1998-11-20,600155,12.6,12.66,12.79,12.56,6260,7929000.0,1.82,0.4,0.05,1.39
1998-11-23,600155,12.88,12.89,12.95,12.68,5968,7635000.0,2.13,1.82,0.23,1.33
1998-11-24,600155,12.9,12.68,12.95,12.63,4714,6026000.0,2.48,-1.63,-0.21,1.05
1998-11-25,600155,12.75,12.58,12.84,12.55,7173,9070000.0,2.29,-0.79,-0.1,1.59
1998-11-26,600155,12.55,12.29,12.55,12.2,10111,12487000.0,2.78,-2.31,-0.29,2.25
1998-11-27,600155,12.32,12.1,12.36,12.08,8932,10891000.0,2.28,-1.55,-0.19,1.98
1998-11-30,600155,12.1,12.25,12.41,12.08,4953,6054000.0,2.73,1.24,0.15,1.1
1998-12-01,600155,12.4,12.2,12.4,12.08,4413,5384000.0,2.61,-0.41,-0.05,0.98
1998-12-02,600155,12.15,12.34,12.35,12.1,3690,4503000.0,2.05,1.15,0.14,0.82
1998-12-03,600155,12.3,12.24,12.37,12.13,2594,3174000.0,1.94,-0.81,-0.1,0.58
1998-12-04,600155,12.28,12.25,12.35,12.16,2964,3621000.0,1.55,0.08,0.01,0.66
1998-12-07,600155,12.4,11.98,12.4,11.98,4032,4910000.0,3.43,-2.2,-0.27,0.9
1998-12-08,600155,11.89,12.03,12.14,11.89,3478,4168000.0,2.09,0.42,0.05,0.77
1998-12-09,600155,12.0,12.19,12.24,12.0,1442,1751000.0,2.0,1.33,0.16,0.32
1998-12-10,600155,12.1,11.89,12.18,11.88,3810,4559000.0,2.46,-2.46,-0.3,0.85
1998-12-11,600155,11.82,12.02,12.08,11.75,2248,2669000.0,2.78,1.09,0.13,0.5
1998-12-14,600155,12.02,12.0,12.15,11.82,2298,2741000.0,2.75,-0.17,-0.02,0.51
1998-12-15,600155,11.95,12.19,12.25,11.82,3841,4627000.0,3.58,1.58,0.19,0.85
1998-12-16,600155,12.19,11.99,12.19,11.96,1336,1611000.0,1.89,-1.64,-0.2,0.3
1998-12-17,600155,11.89,11.95,12.09,11.88,2810,3365000.0,1.75,-0.33,-0.04,0.62
1998-12-18,600155,11.95,12.08,12.16,11.88,3057,3675000.0,2.34,1.09,0.13,0.68
1998-12-21,600155,12.03,12.22,12.4,12.01,4681,5739000.0,3.23,1.16,0.14,1.04
1998-12-22,600155,12.32,12.45,12.48,12.25,6016,7463000.0,1.88,1.88,0.23,1.34
1998-12-23,600155,12.45,12.23,12.5,12.2,3632,4481000.0,2.41,-1.77,-0.22,0.81
1998-12-24,600155,12.23,12.22,12.29,12.13,2510,3057000.0,1.31,-0.08,-0.01,0.56
1998-12-25,600155,12.25,12.3,12.48,12.2,2547,3140000.0,2.29,0.65,0.08,0.57
1998-12-28,600155,12.47,12.2,12.47,12.2,2701,3321000.0,2.2,-0.81,-0.1,0.6
1998-12-29,600155,12.16,11.93,12.22,11.86,3926,4715000.0,2.95,-2.21,-0.27,0.87
1998-12-30,600155,11.8,12.24,12.24,11.65,5094,6075000.0,4.95,2.6,0.31,1.13
1998-12-31,600155,12.01,12.0,12.18,11.87,3615,4352000.0,2.53,-1.96,-0.24,0.8
1999-01-04,600155,12.0,11.65,12.0,11.65,4005,4705000.0,2.92,-2.92,-0.35,0.89
1999-01-05,600155,11.61,11.66,11.76,11.55,5042,5878000.0,1.8,0.09,0.01,1.12
1999-01-06,600155,11.66,11.7,11.85,11.66,4568,5355000.0,1.63,0.34,0.04,1.02
1999-01-07,600155,11.74,11.62,11.75,11.55,4175,4853000.0,1.71,-0.68,-0.08,0.93
1999-01-08,600155,11.63,11.94,11.96,11.63,6214,7349000.0,2.84,2.75,0.32,1.38
1999-01-11,600155,11.85,11.96,12.0,11.76,3422,4064000.0,2.01,0.17,0.02,0.76
1999-01-12,600155,11.96,11.94,12.05,11.86,3017,3602000.0,1.59,-0.17,-0.02,0.67
1999-01-13,600155,11.7,11.72,11.89,11.64,3210,3768000.0,2.09,-1.84,-0.22,0.71
1999-01-14,600155,11.73,11.66,11.74,11.59,3660,4265000.0,1.28,-0.51,-0.06,0.81
1999-01-15,600155,11.7,11.71,11.85,11.66,1630,1911000.0,1.63,0.43,0.05,0.36
1999-01-18,600155,11.65,10.79,11.7,10.6,19931,21867000.0,9.39,-7.86,-0.92,4.43
1999-01-19,600155,10.97,10.92,11.15,10.67,12289,13397000.0,4.45,1.2,0.13,2.73
1999-01-20,600155,11.0,10.91,11.01,10.8,3364,3664000.0,1.92,-0.09,-0.01,0.75
1999-01-21,600155,10.85,10.88,10.94,10.68,4856,5234000.0,2.38,-0.27,-0.03,1.08
1999-01-22,600155,10.91,10.93,10.99,10.8,4382,4765000.0,1.75,0.46,0.05,0.97
1999-01-25,600155,10.88,10.44,10.97,10.41,6322,6735000.0,5.12,-4.48,-0.49,1.4
1999-01-26,600155,10.3,10.28,10.57,10.21,8054,8326000.0,3.45,-1.53,-0.16,1.79
1999-01-27,600155,10.28,10.5,10.6,10.28,5762,5992000.0,3.11,2.14,0.22,1.28
1999-01-28,600155,10.5,10.35,10.51,10.23,4789,4939000.0,2.67,-1.43,-0.15,1.06
1999-01-29,600155,10.29,10.09,10.3,9.98,6839,6882000.0,3.09,-2.51,-0.26,1.52
1999-02-02,600155,10.1,9.87,10.1,9.72,4423,4355000.0,3.77,-2.18,-0.22,0.98
1999-02-03,600155,9.96,9.6,10.18,9.6,5734,5713000.0,5.88,-2.74,-0.27,1.27
1999-02-04,600155,9.8,9.99,10.2,9.62,6571,6481000.0,6.04,4.06,0.39,1.46
1999-02-05,600155,9.9,9.74,9.96,9.7,3082,3017000.0,2.6,-2.5,-0.25,0.68
1999-02-08,600155,9.75,9.92,10.1,9.74,3974,3961000.0,3.7,1.85,0.18,0.88
1999-02-09,600155,9.98,10.1,10.15,9.97,4039,4071000.0,1.81,1.81,0.18,0.9
1999-03-01,600155,10.11,10.25,10.26,10.02,2141,2161000.0,2.38,1.49,0.15,0.48
1999-03-02,600155,10.24,10.0,10.24,9.83,2792,2795000.0,4.0,-2.44,-0.25,0.62
1999-03-03,600155,10.0,10.24,10.24,9.85,4209,4238000.0,3.9,2.4,0.24,0.94
1999-03-04,600155,10.24,10.28,10.35,10.1,4788,4912000.0,2.44,0.39,0.04,1.06
1999-03-05,600155,10.31,10.12,10.31,10.0,3384,3429000.0,3.02,-1.56,-0.16,0.75
1999-03-08,600155,10.25,10.25,10.25,10.0,3400,3432000.0,2.47,1.28,0.13,0.76
1999-03-09,600155,10.34,10.15,10.36,10.11,3588,3660000.0,2.44,-0.98,-0.1,0.8
1999-03-10,600155,10.14,9.99,10.19,9.97,2937,2944000.0,2.17,-1.58,-0.16,0.65
1999-03-11,600155,9.94,10.4,10.48,9.9,6891,7081000.0,5.81,4.1,0.41,1.53
1999-03-12,600155,10.4,10.51,10.73,10.4,7104,7523000.0,3.17,1.06,0.11,1.58
1999-03-15,600155,10.5,10.78,10.92,10.31,9951,10582000.0,5.8,2.57,0.27,2.21
1999-03-16,600155,10.8,10.75,10.86,10.59,5705,6112000.0,2.5,-0.28,-0.03,1.27
1999-03-17,600155,10.72,10.42,10.75,10.42,7766,8237000.0,3.07,-3.07,-0.33,1.73
1999-03-18,600155,10.25,10.83,10.87,10.25,12756,13444000.0,5.95,3.93,0.41,2.55
1999-03-19,600155,10.6,11.02,11.06,10.6,16288,17725000.0,4.25,1.75,0.19,3.26
1999-03-22,600155,11.0,11.06,11.22,10.94,15316,16954000.0,2.54,0.36,0.04,3.07
1999-03-23,600155,11.0,10.89,11.05,10.85,5065,5523000.0,1.81,-1.54,-0.17,1.01
1999-03-24,600155,10.89,10.75,10.98,10.68,6032,6522000.0,2.75,-1.29,-0.14,1.21
1999-03-25,600155,10.68,10.54,10.72,10.48,6746,7139000.0,2.23,-1.95,-0.21,1.35
1999-03-26,600155,10.5,10.6,10.63,10.47,5236,5522000.0,1.52,0.57,0.06,1.05
1999-03-29,600155,10.6,10.78,10.8,10.6,6341,6803000.0,1.89,1.7,0.18,1.27
1999-03-30,600155,10.76,10.49,10.85,10.49,4279,4555000.0,3.34,-2.69,-0.29,0.86
