序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
1,603194,N中力,54.08,166.14,33.76,385496.0,2322362106.0,85.68,69.99,52.58,69.99,20.32,,77.36,25.04,4.68,21686080000.0,2694721819.0,-0.22,1.56,166.14,166.14,工程机械
2,300040,九洲集团,8.26,20.06,1.38,1186336.0,937039924.86,19.48,8.26,6.92,6.92,6.88,1.24,25.47,50.18,1.7,4897014456.0,3847709767.0,0.0,0.0,57.63,49.37,电网设备
3,300959,线上线下,52.06,20.01,8.68,137135.0,642635075.72,26.37,52.06,40.62,41.99,43.38,2.26,26.23,250.13,3.6,4183947668.0,2721447901.0,0.0,0.0,109.16,45.7,通信服务
4,300843,胜蓝股份,35.87,20.01,5.98,357982.0,1241087381.82,20.31,35.87,29.8,30.35,29.89,4.08,22.99,50.23,4.0,5872093436.0,5584809709.0,0.0,0.0,55.96,56.77,消费电子
5,301067,显盈科技,33.84,20.0,5.64,202896.0,634880272.96,22.41,33.84,27.52,27.95,28.2,3.32,36.23,439.0,3.9,3290466240.0,1895078916.0,0.0,0.0,68.53,0.83,消费电子
6,300960,通业科技,27.18,20.0,4.53,57145.0,152540702.64,18.85,27.18,22.91,22.91,22.65,1.89,6.15,66.4,4.66,2790418256.0,2527044056.0,0.0,0.0,45.66,26.54,交运设备
7,300718,长盛轴承,22.32,20.0,3.72,124284.0,277401687.12,0.0,22.32,22.32,22.32,18.6,1.48,6.41,29.56,4.13,6668747950.0,4327049681.0,0.0,0.0,68.84,22.98,工程机械
8,301428,世纪恒通,44.29,19.99,7.38,195477.0,780218846.05,23.0,44.29,35.8,37.01,36.91,1.99,31.94,49.93,3.52,4369946681.0,2710400381.0,0.0,0.0,78.81,15.79,互联网服务
9,688605,先锋精科,84.2,19.99,14.03,162245.0,1249911169.0,20.98,84.2,69.48,71.4,70.17,1.26,42.65,73.0,11.83,17040383875.0,3203399693.0,0.0,0.0,645.79,645.79,半导体
10,300208,*ST中程,2.9,19.83,0.48,160465.0,46432647.49,3.72,2.9,2.81,2.9,2.42,1.03,2.33,-12.35,-4.54,2173477500.0,1993434265.0,0.0,0.0,59.34,-56.59,电网设备
11,301110,青木科技,78.81,16.84,11.36,180111.0,1255731303.12,28.29,80.94,61.86,67.3,67.45,2.34,37.11,75.72,5.23,7292709594.0,3825463644.0,0.0,0.41,195.72,182.57,互联网服务
12,301076,新瀚新材,30.36,16.23,4.24,210246.0,615623736.66,17.84,31.3,26.64,26.86,26.12,1.87,30.33,73.31,3.6,4084148640.0,2104798839.0,-0.3,0.93,88.45,-10.1,化学原料
13,920002,万达轴承,77.5,15.88,10.62,23390.0,182843308.9,19.42,83.0,70.01,70.4,66.88,3.43,40.68,41.95,3.75,2518914300.0,445625000.0,-0.04,0.39,101.93,273.67,通用设备
14,300006,莱美药业,5.66,15.51,0.76,660104.0,358164308.06,18.37,5.8,4.9,4.94,4.9,1.67,6.25,-169.68,2.91,5976457420.0,5975956895.0,0.53,0.18,102.87,52.15,化学制药
15,300563,神宇股份,65.3,14.86,8.45,405362.0,2491818738.03,19.81,66.65,55.39,58.01,56.85,1.64,32.95,129.18,11.29,11602668948.0,8034446700.0,-0.09,0.68,135.83,315.39,通信设备
16,688275,万润新能,58.08,14.33,7.28,35655.0,196582504.0,14.63,58.18,50.75,50.75,50.8,1.8,4.21,-9.19,1.24,7324960331.0,4913380692.0,0.03,0.22,120.75,-5.82,电池
17,300913,兆龙互连,63.4,13.3,7.44,308296.0,1857665644.07,11.92,63.5,56.83,56.84,55.96,1.02,14.52,137.36,14.27,16456214062.0,13456969282.0,0.49,2.72,128.47,111.97,通信设备
18,834770,艾能聚,20.09,12.87,2.29,156552.0,308432000.44,19.27,21.05,17.62,17.62,17.8,3.48,19.12,47.7,4.44,2614355396.0,1645246442.0,0.25,0.2,290.86,73.34,光伏设备
19,688220,翱捷科技-U,57.1,12.36,6.28,139621.0,735725060.0,21.98,60.54,49.37,50.95,50.82,1.06,6.22,-43.43,4.07,23884980762.0,12825080770.0,-0.02,-1.19,86.05,-18.94,半导体
20,688716,中研股份,40.5,11.88,4.3,146814.0,589372996.0,13.54,41.9,37.0,37.0,36.2,1.38,21.72,123.81,4.15,4928040000.0,2737831064.0,0.0,-0.07,149.23,3.05,塑料制品
21,300436,广生堂,32.46,11.32,3.3,96593.0,303339898.92,14.09,33.35,29.24,29.46,29.16,2.21,7.07,-54.89,11.6,5169806820.0,4437854529.0,0.12,-0.06,76.32,26.65,化学制药
22,300543,朗科智能,11.1,11.22,1.12,336295.0,375381504.73,13.63,11.87,10.51,11.13,9.98,3.76,15.91,48.71,2.9,2976331511.0,2346804358.0,0.36,0.36,43.78,2.12,消费电子
23,831304,迪尔化工,13.48,11.13,1.35,94608.0,123387201.75,11.54,13.78,12.38,12.38,12.13,1.52,12.0,22.19,4.42,2187642240.0,1062612952.0,-0.15,1.66,113.97,34.8,化学原料
24,301000,肇民科技,26.17,10.75,2.54,223571.0,568922536.5,10.37,26.43,23.98,23.98,23.63,2.05,9.78,45.27,5.61,6337312807.0,5981191447.0,0.04,0.5,113.63,77.54,塑料制品
