序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
17,300072,海新能科,4.8,13.48,0.57,2713454.0,1303933583.3,20.09,5.08,4.23,4.23,4.23,3.35,11.64,-13.36,1.8,11278657450.0,11190567845.0,0.0,-0.62,160.87,36.75
42,600120,浙江东方,5.57,10.08,0.51,2242202.0,1231004254.0,8.1,5.57,5.16,5.27,5.06,3.16,6.57,34.11,1.22,19023674910.0,19023674910.0,0.0,0.0,60.52,57.79
53,002243,力合科创,9.21,10.04,0.84,254119.0,232005239.1,2.75,9.21,8.98,9.08,8.37,1.17,2.11,61.73,1.55,11149664857.0,11090150491.0,0.0,0.0,73.45,17.18
68,600787,中储股份,8.02,10.01,0.73,1750836.0,1363411048.0,8.5,8.02,7.4,7.4,7.29,0.68,8.07,34.0,1.27,17443119692.0,17404038248.0,0.0,0.0,77.43,61.37
71,002467,二六三,8.9,10.01,0.81,7144387.0,5974443747.42,17.43,8.9,7.49,7.86,8.09,2.86,52.4,142.33,6.5,12240809670.0,12134052568.0,0.0,0.0,181.65,91.81
81,000712,锦龙股份,17.93,10.0,1.63,2091041.0,3673264352.99,9.45,17.93,16.39,17.69,16.3,2.88,23.36,-125.56,6.72,16065280000.0,16050074912.0,0.0,0.0,75.44,22.22
86,600410,华胜天成,10.13,9.99,0.92,128256.0,129923541.0,0.0,10.13,10.13,10.13,9.21,0.07,1.17,-38.92,2.72,11107491139.0,11107491139.0,0.0,0.0,188.6,50.74
105,000006,深振业Ａ,8.84,9.95,0.8,677356.0,588978271.17,5.72,8.84,8.38,8.57,8.04,1.22,5.02,-17.1,1.85,11933956207.0,11933888581.0,0.0,0.0,134.48,92.59
107,600577,精达股份,6.08,9.95,0.55,2732785.0,1624421119.0,7.78,6.08,5.65,5.72,5.53,1.79,12.96,23.12,2.33,12820766338.0,12820766338.0,0.0,0.0,30.47,53.15
112,000031,大悦城,3.43,9.94,0.31,533709.0,176394860.65,9.94,3.43,3.12,3.14,3.12,2.67,1.33,-18.79,1.12,14702054753.0,13729902990.0,0.0,0.0,51.1,15.49
117,600601,方正科技,4.21,9.92,0.38,2309779.0,965981028.0,6.53,4.21,3.96,3.96,3.83,2.17,5.54,62.72,4.32,17556934738.0,17556934738.0,0.0,0.0,60.08,45.67
119,002131,利欧股份,3.34,9.87,0.3,17608316.0,5801659757.49,6.25,3.34,3.15,3.29,3.04,1.28,30.09,-106.32,1.76,22616828130.0,19543130685.0,0.0,0.0,142.03,48.44
123,603883,老百姓,19.11,9.51,1.66,720795.0,1341824735.0,11.17,19.2,17.25,17.4,17.45,3.18,9.51,17.29,2.09,14528017735.0,14483788768.0,-0.1,0.31,63.75,-13.72
154,603366,日出东方,19.8,7.9,1.45,595296.0,1187587298.0,2.13,20.19,19.8,20.19,18.35,0.41,7.32,179.55,4.03,16102904420.0,16098352400.0,-1.93,-1.93,435.14,221.95
162,002292,奥飞娱乐,10.18,7.16,0.68,4395227.0,4502176332.79,8.95,10.45,9.6,10.07,9.5,1.89,43.18,158.47,4.45,15053162915.0,10361858004.0,0.0,1.9,87.13,16.34
170,000402,金 融 街,4.05,6.86,0.26,1867783.0,747213843.72,10.82,4.17,3.76,3.79,3.79,2.21,6.25,-3.47,0.36,12105166123.0,12102331103.0,0.0,-0.25,102.5,11.57
178,002171,楚江新材,8.7,6.49,0.53,1323622.0,1148520653.14,8.32,8.99,8.31,8.52,8.17,2.42,9.72,559.16,1.84,12094038284.0,11847503983.0,0.12,0.12,57.32,19.83
179,600481,双良节能,6.6,6.45,0.4,2237382.0,1504251619.0,10.97,6.82,6.14,6.19,6.2,1.91,11.96,-6.91,2.3,12346505972.0,12346505972.0,-0.3,-0.9,76.0,-20.86
186,603398,沐邦高科,27.96,6.19,1.63,253584.0,700764094.0,7.18,28.25,26.36,26.49,26.33,0.89,5.85,-37.42,6.37,12124617011.0,12124617011.0,-0.07,0.22,142.29,56.11
188,000810,创维数字,13.27,6.16,0.77,1144789.0,1527527006.43,11.2,13.75,12.35,12.42,12.5,3.81,10.24,48.41,2.37,15263367275.0,14830441182.0,0.0,0.08,2.87,-14.72
190,688300,联瑞新材,57.3,6.11,3.3,78312.0,450838356.0,8.76,59.83,55.1,55.2,54.0,2.86,4.22,43.18,7.39,10643218926.0,10643218926.0,0.0,0.1,34.89,9.25
238,300087,荃银高科,11.35,5.19,0.56,705824.0,791789318.62,6.86,11.44,10.7,10.77,10.79,1.48,7.88,-95.62,6.11,10752215374.0,10168522533.0,0.0,0.27,85.46,37.08
241,688343,云天励飞-U,41.85,5.15,2.05,305119.0,1266785882.0,12.84,44.21,39.1,40.5,39.8,1.89,11.83,-26.21,3.7,14862346182.0,10791458284.0,0.22,0.26,87.67,-15.03
260,000061,农 产 品,7.74,5.02,0.37,267993.0,206785133.8,7.6,7.89,7.33,7.36,7.37,1.53,1.58,31.44,2.11,13134502374.0,13134261466.0,-0.13,0.39,53.27,21.7
263,600827,百联股份,10.5,5.0,0.5,394351.0,422131235.0,8.9,10.99,10.1,10.1,10.0,3.6,2.46,8.67,0.97,18733765229.0,16846724160.0,0.0,0.1,39.26,12.06
281,688333,铂力特,45.88,4.89,2.14,77708.0,352901576.0,6.38,46.79,44.0,44.3,43.74,1.75,2.86,350.37,2.59,12468724832.0,12468724832.0,-0.07,0.24,4.51,-44.51
301,300341,麦克奥迪,21.33,4.76,0.97,311855.0,678882772.07,10.46,22.86,20.73,20.84,20.36,1.84,6.05,67.69,6.21,11036362467.0,10991939009.0,0.0,0.14,168.98,81.84
310,600446,金证股份,16.75,4.69,0.75,539851.0,919325207.0,8.13,17.6,16.3,16.39,16.0,1.94,5.71,-102.98,4.25,15850106334.0,15850106334.0,-0.18,-0.24,86.11,45.53
356,688596,正帆科技,38.07,4.27,1.56,74710.0,282591609.0,8.33,39.0,35.96,36.51,36.51,1.56,2.58,24.89,3.28,11007378853.0,11007378853.0,0.05,-0.08,51.01,-3.23
359,301091,深城交,53.45,4.25,2.18,247976.0,1330179159.09,7.39,55.59,51.8,52.01,51.27,1.46,8.73,274.68,9.48,21679320000.0,15175524000.0,-0.02,-0.07,105.58,203.18
363,002426,胜利精密,3.0,4.17,0.12,3982687.0,1171067135.31,9.72,3.1,2.82,2.88,2.88,1.1,11.7,-267.26,3.09,10207877748.0,10207799673.0,0.33,0.67,84.05,28.21
