2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 volatility...
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:152 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.3014, 'threshold': '0.05 - 0.5', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-19 14:51:35 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 volume...
2025-09-19 14:51:35 | WARNING  | trading_grid.evaluator.evaluator:evaluate_factor:132 - 因子 volume 未注册，跳过评估
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 volatility...
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:152 - 因子 volatility 评估完成，结果: {'factor': 'volatility', 'name': '波动率', 'value': 0.3014, 'threshold': '0.05 - 0.5', 'conclusion': '适中，适合网格', 'is_passed': True}
2025-09-19 14:51:57 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 volume...
2025-09-19 14:51:57 | WARNING  | trading_grid.evaluator.evaluator:evaluate_factor:132 - 因子 volume 未注册，跳过评估
2025-09-19 14:52:24 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:52:24 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
2025-09-19 14:52:24 | INFO     | trading_grid.evaluator.evaluator:run:165 - 开始评估股票 TEST 的因子
2025-09-19 14:52:24 | INFO     | trading_grid.evaluator.evaluator:evaluate_factor:115 - 正在评估因子 pe_ratio...
