symbol,name,index,industry,price,monthly_high,retracement,pe_ratio,pb_ratio,market_cap,eastmoney_url
835438,戈碧迦,5342,未知,45.58,59.18,0.22980736735383578,251.67,6.38,6236445600.0,https://quote.eastmoney.com/concept/sh835438.html?from=classic
430476,海能技术,837,未知,99.97,154.15,0.3514758352254298,233.91,5.84,2559652990.0,https://quote.eastmoney.com/concept/sh430476.html?from=classic
836699,海达尔,5129,未知,190.92,225.06,0.15169288189816055,34.89,9.02,2682767640.0,https://quote.eastmoney.com/concept/sh836699.html?from=classic
872808,曙光数创,4966,未知,2009.04,2181.01,0.07884879023938461,-152.2,27.87,19100000096.0,https://quote.eastmoney.com/concept/sh872808.html?from=classic
871981,晶赛科技,5348,未知,221.62,274.05,0.1913154533844189,785.7,6.43,3215479400.0,https://quote.eastmoney.com/concept/sh871981.html?from=classic
832662,方盛股份,1144,未知,178.36,225.67,0.20964239819205024,121.3,7.75,3512506080.0,https://quote.eastmoney.com/concept/sh832662.html?from=classic
688189,南新制药,5201,未知,28.03,37.1,0.2444743935309973,-122.28,4.23,3926664000.0,https://quote.eastmoney.com/concept/sh688189.html?from=classic
300499,高澜股份,669,未知,134.27,147.27,0.08827323962789434,226.49,7.56,10387608633.0,https://quote.eastmoney.com/concept/sz300499.html?from=classic
300426,华智数媒,3412,未知,54.86,61.91,0.1138749798094007,-56.3,9.95,4895661145.0,https://quote.eastmoney.com/concept/sz300426.html?from=classic
688098,申联生物,5339,未知,13.67,17.96,0.23886414253897553,-469.81,4.03,5675100080.0,https://quote.eastmoney.com/concept/sh688098.html?from=classic
301151,冠龙节能,3333,未知,25.39,31.3,0.18881789137380192,123.62,1.99,4064548605.0,https://quote.eastmoney.com/concept/sz301151.html?from=classic
300995,奇德新材,4163,未知,60.91,67.74,0.10082669028638912,311.05,8.18,5049600000.0,https://quote.eastmoney.com/concept/sz300995.html?from=classic
301226,祥明智能,5090,未知,59.74,70.85,0.15681016231474937,137.86,4.36,3920064000.0,https://quote.eastmoney.com/concept/sz301226.html?from=classic
300153,科泰电源,3633,未知,185.9,206.74,0.10080294089194158,269.78,16.89,14953600000.0,https://quote.eastmoney.com/concept/sz300153.html?from=classic
301128,强瑞技术,5367,未知,152.48,167.47,0.0895085686988715,105.12,13.93,11544045732.0,https://quote.eastmoney.com/concept/sz301128.html?from=classic
688519,南亚新材,5340,未知,74.22,82.89,0.1045964531306551,97.86,6.61,17065504135.0,https://quote.eastmoney.com/concept/sh688519.html?from=classic
688205,德科立,4301,未知,149.7,170.71,0.12307421943647132,267.94,6.94,15581607787.0,https://quote.eastmoney.com/concept/sh688205.html?from=classic
301165,锐捷网络,3360,未知,128.04,139.17,0.0799741323561112,79.78,15.3,72139772686.0,https://quote.eastmoney.com/concept/sz301165.html?from=classic
300133,华策影视,3392,未知,228.23,244.39,0.06612381848684479,72.25,2.35,16982295094.0,https://quote.eastmoney.com/concept/sz300133.html?from=classic
300049,福瑞股份,4867,未知,212.85,266.09,0.20008267879288957,158.17,9.0,16428505800.0,https://quote.eastmoney.com/concept/sz300049.html?from=classic
300767,震安科技,321,未知,78.7,83.54,0.05793631793152984,-249.88,4.38,7144885984.0,https://quote.eastmoney.com/concept/sz300767.html?from=classic
688603,天承科技,2368,未知,185.27,229.14,0.19145500567338736,147.73,9.52,10853528078.0,https://quote.eastmoney.com/concept/sh688603.html?from=classic
688775,影石创新,4300,未知,274.7,318.88,0.1385474159558455,159.2,22.0,112296040000.0,https://quote.eastmoney.com/concept/sh688775.html?from=classic
301123,奕东电子,4382,未知,44.53,49.99,0.10922184436887379,-478.11,3.48,9897632000.0,https://quote.eastmoney.com/concept/sz301123.html?from=classic
300730,科创信息,4291,未知,57.64,65.98,0.1264019399818127,-51.94,18.8,5336404897.0,https://quote.eastmoney.com/concept/sz300730.html?from=classic
688195,腾景科技,5203,未知,62.0,76.28,0.1872050340849502,153.82,8.73,8019700000.0,https://quote.eastmoney.com/concept/sh688195.html?from=classic
688108,赛诺医疗,2831,未知,31.9,47.1,0.32271762208067944,501.06,15.52,13871040320.0,https://quote.eastmoney.com/concept/sh688108.html?from=classic
300727,润禾材料,4006,未知,68.52,75.47,0.09208957201537038,61.69,5.66,7124545852.0,https://quote.eastmoney.com/concept/sz300727.html?from=classic
300810,中科海讯,4030,未知,81.7,98.47,0.17030567685589515,-63.87,8.15,6445530000.0,https://quote.eastmoney.com/concept/sz300810.html?from=classic
300004,南风股份,4809,未知,49.4,50.96,0.030612244897959228,88.6,3.27,5755123240.0,https://quote.eastmoney.com/concept/sz300004.html?from=classic
300620,光库科技,4961,未知,203.0,244.85,0.17092097202368794,216.85,11.22,22496019603.0,https://quote.eastmoney.com/concept/sz300620.html?from=classic
873223,荣亿精密,130,未知,24.63,25.7,0.0416342412451362,-228.38,9.28,2386013450.0,https://quote.eastmoney.com/concept/sh873223.html?from=classic
688729,屹唐股份,4083,未知,29.9,31.58,0.0531982267257758,96.25,9.87,83760570400.0,https://quote.eastmoney.com/concept/sh688729.html?from=classic
301086,鸿富瀚,5180,未知,104.63,115.55,0.0945045434876677,79.15,3.13,5917500000.0,https://quote.eastmoney.com/concept/sz301086.html?from=classic
873726,卓兆点胶,5401,未知,303.03,363.22,0.16571224051539027,64.13,5.65,3434932745.0,https://quote.eastmoney.com/concept/sh873726.html?from=classic
301161,唯万密封,5277,未知,40.81,47.76,0.14551926298157444,49.68,5.05,4923600000.0,https://quote.eastmoney.com/concept/sz301161.html?from=classic
688579,山大地纬,2361,未知,13.34,14.28,0.06582633053221286,131.69,3.81,5208130200.0,https://quote.eastmoney.com/concept/sh688579.html?from=classic
300413,芒果超媒,3377,未知,47.49,47.92,0.008973288814691146,33.05,2.21,50453340381.0,https://quote.eastmoney.com/concept/sz300413.html?from=classic
300811,铂科新材,5134,未知,323.28,356.44,0.09303108517562571,53.48,7.41,20460029785.0,https://quote.eastmoney.com/concept/sz300811.html?from=classic
688035,德邦科技,3937,未知,56.48,66.1,0.14553706505295005,89.01,3.53,8113369600.0,https://quote.eastmoney.com/concept/sh688035.html?from=classic
688590,新致软件,4128,未知,32.53,36.28,0.10336273428886439,103.8,4.64,6530269423.0,https://quote.eastmoney.com/concept/sh688590.html?from=classic
833509,同惠电子,3753,未知,145.94,164.34,0.11196300352926862,83.68,14.86,4905354298.0,https://quote.eastmoney.com/concept/sh833509.html?from=classic
301479,弘景光电,4387,未知,146.67,170.33,0.13890682792226866,60.73,7.88,9173215486.0,https://quote.eastmoney.com/concept/sz301479.html?from=classic
688313,仕佳光子,774,未知,70.65,74.47,0.05129582382167307,76.86,23.94,33304460990.0,https://quote.eastmoney.com/concept/sh688313.html?from=classic
301560,众捷汽车,4036,未知,38.9,44.83,0.13227749275039036,58.09,5.2,4733888000.0,https://quote.eastmoney.com/concept/sz301560.html?from=classic
300486,东杰智能,5569,未知,52.17,55.14,0.05386289445048964,871.75,7.11,10365924460.0,https://quote.eastmoney.com/concept/sz300486.html?from=classic
300843,胜蓝股份,3972,未知,54.09,58.67,0.07806374637804667,73.36,5.79,8844973748.0,https://quote.eastmoney.com/concept/sz300843.html?from=classic
688448,磁谷科技,5085,未知,60.75,69.91,0.13102560434844795,493.18,4.38,4423813002.0,https://quote.eastmoney.com/concept/sh688448.html?from=classic
688319,欧林生物,5365,未知,30.29,34.72,0.12759216589861752,-443.87,13.66,12559585584.0,https://quote.eastmoney.com/concept/sh688319.html?from=classic
688788,科思科技,4955,未知,150.53,202.35,0.2560909315542377,-48.8,5.38,11391036068.0,https://quote.eastmoney.com/concept/sh688788.html?from=classic
688167,炬光科技,5257,未知,133.58,149.56,0.10684675046803951,-94.91,5.76,12131035740.0,https://quote.eastmoney.com/concept/sh688167.html?from=classic
688582,芯动联科,4838,未知,81.68,89.36,0.08594449418084146,105.55,13.6,32578183158.0,https://quote.eastmoney.com/concept/sh688582.html?from=classic
300602,飞荣达,1206,未知,159.0,172.32,0.07729805013927572,59.31,5.14,19701895774.0,https://quote.eastmoney.com/concept/sz300602.html?from=classic
301357,北方长龙,381,未知,233.18,263.84,0.11620679199514847,-790.74,14.3,16037392000.0,https://quote.eastmoney.com/concept/sz301357.html?from=classic
300147,ST香雪,176,未知,48.03,55.78,0.1389386877016852,-20.63,7.49,7241005543.0,https://quote.eastmoney.com/concept/sz300147.html?from=classic
300199,翰宇药业,5207,未知,225.86,253.22,0.10804833741410626,85.13,34.22,24766087061.0,https://quote.eastmoney.com/concept/sz300199.html?from=classic
300803,指南针,505,未知,225.41,229.25,0.01675027262813524,164.09,40.52,91015796197.0,https://quote.eastmoney.com/concept/sz300803.html?from=classic
301018,申菱环境,2473,未知,70.05,75.57,0.0730448590710599,86.9,7.38,18817897852.0,https://quote.eastmoney.com/concept/sz301018.html?from=classic
